comparison	gene_name	logFC	CI.L	CI.R	adj.P.Val	AveExpr	P.Value	Chr	gene_id
Bedding vs Clean	0610009B22Rik	-0.0214257882177868	-0.143031612838351	0.100180036402777	0.968298209458449	4.07053677687943	0.71842681347863	chr11	ENSMUSG00000007777
CH vs Clean	0610009B22Rik	0.10741655907731	-0.0309144230872789	0.2457475412419	0.313779671053651	4.07053677687943	0.121629771328345	chr11	ENSMUSG00000007777
CH vs Bedding	0610009B22Rik	0.128842347295097	0.0130137225627279	0.244670972027467	0.0945216820957385	4.07053677687943	0.0308407283248275	chr11	ENSMUSG00000007777
Bedding vs Clean	0610010K14Rik	-0.0885620672965244	-0.209003841955814	0.0318797073627656	0.778260108087863	4.47111215122148	0.141600989887021	chr11	ENSMUSG00000020831
CH vs Clean	0610010K14Rik	0.130123694586976	-0.00621009531122491	0.266457484485176	0.213974076139205	4.47111215122148	0.060427864094868	chr11	ENSMUSG00000020831
CH vs Bedding	0610010K14Rik	0.2186857618835	0.104701702067572	0.332669821699429	0.00887476457675145	4.47111215122148	0.00062866763675221	chr11	ENSMUSG00000020831
Bedding vs Clean	0610030E20Rik	0.0998076770477588	-0.190209398016017	0.389824752111534	0.921056847465854	4.09130044948974	0.482976641497507	chr6	ENSMUSG00000058706
CH vs Clean	0610030E20Rik	-0.244353163958396	-0.571551640829072	0.08284531291228	0.332226097107206	4.09130044948974	0.135729978134397	chr6	ENSMUSG00000058706
CH vs Bedding	0610030E20Rik	-0.344160841006155	-0.617342008525435	-0.0709796734868744	0.0611425453674736	4.09130044948974	0.0158822551962376	chr6	ENSMUSG00000058706
Bedding vs Clean	0610040J01Rik	-0.0507489833143593	-0.296735170109819	0.1952372034811	0.961036619577038	2.18581657453622	0.6730516830345	chr5	ENSMUSG00000060512
CH vs Clean	0610040J01Rik	0.260438525433091	-0.0172815793510776	0.53815863021726	0.221675207322881	2.18581657453622	0.0647026352997982	chr5	ENSMUSG00000060512
CH vs Bedding	0610040J01Rik	0.31118750874745	0.078926789290859	0.543448228204042	0.047621510889823	2.18581657453622	0.0109309470276699	chr5	ENSMUSG00000060512
Bedding vs Clean	1110002E22Rik	0.255278603260478	-0.571517945168952	1.08207515168991	0.930860208914399	1.41549601704557	0.528642412129533	chr3	ENSMUSG00000090066
CH vs Clean	1110002E22Rik	0.114259407789309	-0.800498627314912	1.02901744289353	0.896079366185025	1.41549601704557	0.798046751764783	chr3	ENSMUSG00000090066
CH vs Bedding	1110002E22Rik	-0.141019195471169	-0.904939636209385	0.622901245267047	0.804655362382281	1.41549601704557	0.705563544607426	chr3	ENSMUSG00000090066
Bedding vs Clean	1110004F10Rik	-0.0404836313346593	-0.154197133044637	0.0732298703753189	0.919733659134742	6.58690827822833	0.46829717068162	chr7	ENSMUSG00000030663
CH vs Clean	1110004F10Rik	0.199219288456455	0.0705825965311171	0.327855980381792	0.057750029711364	6.58690827822833	0.00400127204104636	chr7	ENSMUSG00000030663
